name,Run,BioSample,SampleName,Station,Environment,Date,Season,Year,"Redox (mV)","O2 (%)","Water depth at sampling (low tide)",Salinity
"Bay of Biscay",ERR3711608,SAMEA6356557,EOK05_Wi2016,EOK05,Estuarine,2016-01-21,Winter,2016,-27,92,0,0.3
"Bay of Biscay",ERR3711609,SAMEA6356558,EOK05_Wi2017,EOK05,Estuarine,2017-02-02,Winter,2017,-42,67.1,0,14.9
"Bay of Biscay",ERR3711611,SAMEA6356559,EOK05_Wi2018,EOK05,Estuarine,2018-01-23,Winter,2018,-10,98.7,0,0.2
"Bay of Biscay",ERR3711413,SAMEA6356405,EB05_Wi2015,EB05,Estuarine,2015-02-10,Winter,2015,70,87.2,0,15.6
"Bay of Biscay",ERR3711414,SAMEA6356406,EB05_Wi2016,EB05,Estuarine,2016-01-28,Winter,2016,55,89,0,24.3
"Bay of Biscay",ERR3711415,SAMEA6356407,EB05_Wi2017,EB05,Estuarine,2017-02-02,Winter,2017,76,87,0,20.6
"Bay of Biscay",ERR3711417,SAMEA6356408,EB05_Wi2018,EB05,Estuarine,2018-01-23,Winter,2018,71,102.4,0,0.3
"Bay of Biscay",ERR3711419,SAMEA6356409,EB05_Wi2019,EB05,Estuarine,2019-02-11,Winter,2019,47,93.2,0,11
"Bay of Biscay",ERR3711420,SAMEA6356410,EB07_Wi2013,EB07,Estuarine,2013-02-04,Winter,2013,593,98.1,0,17.1
"Bay of Biscay",ERR3711421,SAMEA6356411,EB07_Wi2015,EB07,Estuarine,2015-02-10,Winter,2015,380,90,0,20.7
"Bay of Biscay",ERR3711422,SAMEA6356412,EB07_Wi2016,EB07,Estuarine,2016-01-28,Winter,2016,144,96.6,0,29.1
"Bay of Biscay",ERR3711423,SAMEA6356413,EB07_Wi2017,EB07,Estuarine,2017-02-02,Winter,2017,166,87.9,0,22.2
"Bay of Biscay",ERR3711425,SAMEA6356414,EB07_Wi2018,EB07,Estuarine,2018-01-23,Winter,2018,342,95,0,11.9
"Bay of Biscay",ERR3711426,SAMEA6356415,EB07_Wi2019,EB07,Estuarine,2019-02-11,Winter,2019,218,96.6,0,20.9
"Bay of Biscay",ERR3711427,SAMEA6356416,EB10_Wi2013,EB10,Estuarine,2013-02-04,Winter,2013,608,96.5,0,20.5
"Bay of Biscay",ERR3711428,SAMEA6356417,EB10_Wi2015,EB10,Estuarine,2015-02-10,Winter,2015,411,88.5,0,22.7
"Bay of Biscay",ERR3711429,SAMEA6356418,EB10_Wi2016,EB10,Estuarine,2016-01-28,Winter,2016,133,97.6,0,30.4
"Bay of Biscay",ERR3711430,SAMEA6356419,EB10_Wi2017,EB10,Estuarine,2017-02-02,Winter,2017,110,97.4,0,31
"Bay of Biscay",ERR3711432,SAMEA6356420,EB10_Wi2018,EB10,Estuarine,2018-01-23,Winter,2018,46,104.9,0,15.2
"Bay of Biscay",ERR3711433,SAMEA6356421,EB10_Wi2019,EB10,Estuarine,2019-02-11,Winter,2019,131,98.7,0,24.7
"Bay of Biscay",ERR3711434,SAMEA6356422,EBI05_Wi2013,EBI05,Estuarine,2013-01-29,Winter,2013,555,105,0,0.1
"Bay of Biscay",ERR3711435,SAMEA6356423,EBI05_Wi2015,EBI05,Estuarine,2015-02-05,Winter,2015,446,92,0,10.5
"Bay of Biscay",ERR3711436,SAMEA6356424,EBI05_Wi2016,EBI05,Estuarine,2016-01-26,Winter,2016,346,87.2,0,9.1
"Bay of Biscay",ERR3711437,SAMEA6356425,EBI05_Wi2017,EBI05,Estuarine,2017-02-01,Winter,2017,476,89.8,0,11
"Bay of Biscay",ERR3711438,SAMEA6356426,EBI05_Wi2018,EBI05,Estuarine,2018-02-05,Winter,2018,132,108.5,0,0.1
"Bay of Biscay",ERR3711440,SAMEA6356427,EBI05_Wi2019,EBI05,Estuarine,2019-01-23,Winter,2019,222,98.6,0,11.3
"Bay of Biscay",ERR3711441,SAMEA6356428,EBI10_Wi2013,EBI10,Estuarine,2013-01-29,Winter,2013,229,96,0,11.6
"Bay of Biscay",ERR3711442,SAMEA6356429,EBI10_Wi2016,EBI10,Estuarine,2016-01-26,Winter,2016,86,84.3,0,17
