old,new,source
Q8IU80-4,Q8IU80,FKZ+15
Q9HBX8-3,Q9HBX8,FKZ+15
Q6WKZ4-4,Q6WKZ4,FKZ+15
Q9P2K1-4,Q9P2K1,FKZ+15
Q9NZU7-4,Q9NZU7,FKZ+15
Q15884-3,Q15884,FKZ+15
P02458-2,P02458,FKZ+15
Q15398-2,Q15398,FKZ+15
Q460N5-6,Q460N5,FKZ+15
Q9Y2W6-2,Q9Y2W6,FKZ+15
Q9NSV4-3,Q9NSV4,FKZ+15
Q9P2N4-3,Q9P2N4,FKZ+15
O15315-3,O15315,FKZ+15
Q9BXW9-2,Q9BXW9,FKZ+15
Q96HR9-2,Q96HR9,FKZ+15
Q9Y2G4-2,Q9Y2G4,FKZ+15
Q86TI4-3,Q86TI4,FKZ+15
Q15772-5,Q15772,FKZ+15
Q6ZTA4-3,Q6ZTA4,FKZ+15
P32189-3,P32189,FKZ+15
Q9NXL2-2,Q9NXL2,FKZ+15
O94988-4,O94988,FKZ+15
A8MPR0,Q9UQ53,TZD+18
B1ALD8,Q15063,TZD+18
B7Z5T4,Q13642,TZD+18
D6QS48,O43852,TZD+18
E9PFQ6,P12111,TZD+18
E9PKS1,Q6ZMB0,TZD+18
F2Z2W0,Q9H2D6,TZD+18
Q3MIV8,P35749,TZD+18
Q5QPV6,Q9BQY9,TZD+18
Q5SR76,Q8IYW2,TZD+18
Q5VU66,P06753,TZD+18
Q6IQ15,P68104,TZD+18
D9YZV2,P09493,TZD+18
Q9Y427,P09493,TZD+18
Q5VXV2,Q01105,YLL+12
Q6ZS74,P11234,YLL+12
A6PVW9,Q13228,YLL+12
P01914,Q30167,ZLH+14
Q30083,P01920,LXC+06
Q9HC90,Q9HC96,LXC+06
Q9BQP3,Q8IUB2,LXC+06
O14985,Q9HC84,LXC+06
Q8NA28,Q9BWV2,LXC+06
Q9UCZ9,P10632,LXC+06
Q8WW21,Q5TD97,LXC+06
Q969U2,Q9UNE7,LXC+06
Q96F77,Q99766,LXC+06
Q969G7,P55072,LLY+14
Q6NVY7,Q9NX62,LLY+14
Q9Y6G8,Q53GQ0,LLY+14
Q96DJ4,Q96A98,LLY+14
Q4LE83,P49327,GTR+08
Q96GX7,Q13228,GTR+08
Q8BH78,Q99P72,LPK+19
Q8K2E1,Q8R050,DCH+14
Q546Z2,P31937,LLL+17
F5H1A8,P06396,LLL+17
B7Z8R3,P54868,LLL+17
B7Z2X9,P09104,LLL+17
A6NM98,P41227,LLL+17
F5H897,Q12931,LLL+17
P01914,P01911,LZW+17
B5BU38,P04083,GADS19
Q80T20,Q5SSE9,SBB+06
Q80TH0,Q3UGY8,SBB+06
Q80VZ6,Q3TD49,SBB+06
Q80WS6,P51827,SBB+06
Q80XA3,P52955,SBB+06
Q80XJ0,Q3UL36,SBB+06
Q80ZY5,O08582,SBB+06
Q810I8,Q9CZ09,SBB+06
Q811G3,Q9QX47,SBB+06
O70341,Q8BP92,SBB+06
O88464,Q8R3H7,SBB+06
O88473,Q4U2R1,SBB+06
P97869,Q9D379,SBB+06
Q5U4I2,Q01237,SBB+06
Q61073,Q3V009,SBB+06
Q66JZ3,Q3UXZ9,SBB+06
Q68HV1,Q3UH93,SBB+06
Q695L2,A2AAJ9,SBB+06
Q69ZH5,Q9CXB8,SBB+06
Q69ZJ4,B9EJ86,SBB+06
Q69ZX2,A2RT67,SBB+06
Q69ZX5,Q8BPN8,SBB+06
Q6A0B3,Q8C3Y4,SBB+06
Q6IQZ3,Q3UPL0,SBB+06
Q6NXJ6,Q8BYK6,SBB+06
Q6NXW9,Q6NZF1,SBB+06
Q6P1G8,Q9Z1A9,SBB+06
Q6P2L2,Q3U0V1,SBB+06
Q6PG24,Q60790,SBB+06
Q6R1Z2,A1A547,SBB+06
Q6S7E8,Q8BX22,SBB+06
Q6ZPG9,Q8CI71,SBB+06
Q6ZQ31,Q9CPW0,SBB+06
Q6ZQ90,Q5SWW4,SBB+06
Q8BHG7,E9Q6J5,SBB+06
Q8BI78,Q3V0C1,SBB+06
Q8BIS0,Q3U2P1,SBB+06
Q8BJA0,Q6ZQ89,SBB+06
Q8BJC7,Q3UEZ8,SBB+06
Q8BJI7,Q80U59,SBB+06
Q8BMQ4,A2AG50,SBB+06
Q8BSS4,P14824,SBB+06
