taxid	lineage	name	rank	SRR15720303	SRR15720304	SRR15720305	SRR15720306	SRR15720307	SRR15720308	SRR15720309	SRR15720310	SRR15720311	SRR15720312	SRR15720313	SRR15720314	SRR15720315	SRR15720316	SRR15720317	SRR15720318	SRR15720319	SRR15720320	SRR15720321	SRR15720322
2292	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillales_Incertae Sedis XII;family;	Bacillales_Incertae Sedis XII	family	1	0	0	0	0	3	1	1	189	0	13	4	0	0	4	5	8	0	0	0
2293	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillales_Incertae Sedis XII;family;Exiguobacterium;genus;	Exiguobacterium	genus	1	0	0	0	0	3	1	1	189	0	13	4	0	0	4	5	8	0	0	0
-2262	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;unclassified_Bacillales;;	unclassified_Bacillales		2	10	0	0	0	3	0	0	1	0	0	4	25	0	0	0	1	0	2	0
2297	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Paenibacillaceae 1;family;	Paenibacillaceae 1	family	0	13	0	0	0	13	1	0	0	0	0	2	0	0	1	0	0	0	0	0
2298	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Paenibacillaceae 1;family;Paenibacillus;genus;	Paenibacillus	genus	0	5	0	0	0	5	1	0	0	0	0	2	0	0	1	0	0	0	0	0
2300	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Paenibacillaceae 1;family;Cohnella;genus;	Cohnella	genus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-2298	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Paenibacillaceae 1;family;unclassified_Paenibacillaceae 1;;	unclassified_Paenibacillaceae 1		0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3931	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Paenibacillaceae 1;family;Gorillibacterium;genus;	Gorillibacterium	genus	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2598	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Paenibacillaceae 1;family;Saccharibacillus;genus;	Saccharibacillus	genus	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2264	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 1;family;	Bacillaceae 1	family	0	30	0	2	0	10	1	1	134	2	0	224	0	0	16	0	25	0	3	0
3917	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 1;family;Alkalihalobacillus;genus;	Alkalihalobacillus	genus	0	18	0	0	0	0	0	0	110	2	0	189	0	0	0	0	18	0	2	0
3914	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 1;family;Cytobacillus;genus;	Cytobacillus	genus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3916	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 1;family;Neobacillus;genus;	Neobacillus	genus	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3251	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Bacilli;class;Bacillales;order;Bacillaceae 1;family;Fictibacillus;genus;	Fictibacillus	genus	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
