study,name,Run,BioSample,sample,sDII,type
MMA+20,"Pennsylvania Streams 2017",SRR9115199,SAMN11830884,PASFUOG_Boone_Sed_0417,60.71,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115198,SAMN11830885,PASFUOG_Boone_Sed_0916,60.71,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115203,SAMN11830886,PASFUOG_Boone_Sed_0917,60.71,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115202,SAMN11830887,PASFUOG_Browns_Dup_Sed_0416,16.07,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115210,SAMN11830888,PASFUOG_Browns_Dup_Sed_0916,16.07,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115211,SAMN11830889,PASFUOG_Browns_Sed_0416,16.07,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115206,SAMN11830892,PASFUOG_Browns_Sed_0917,16.07,NA
MMA+20,"Pennsylvania Streams 2017",SRR9115207,SAMN11830893,PASFUOG_Canada_Lower_Dup_Sed_0416,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115208,SAMN11830894,PASFUOG_Canada_Lower_Dup_Sed_0417,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115209,SAMN11830895,PASFUOG_Canada_Lower_Dup_Sed_0917,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115204,SAMN11830896,PASFUOG_Canada_Lower_Sed_0416,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115205,SAMN11830897,PASFUOG_Canada_Lower_Sed_0417,1.79,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115176,SAMN11830944,PASFUOG_Little_Bear_Sed_0916,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115175,SAMN11830945,PASFUOG_Little_Bear_Sed_0917,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115178,SAMN11830946,PASFUOG_Painter_Dup_Sed_0416,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115177,SAMN11830947,PASFUOG_Painter_Dup_Sed_0417,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115155,SAMN11830952,PASFUOG_Painter_Sed_0916,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115183,SAMN11830953,PASFUOG_Painter_Sed_0917,11.61,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115184,SAMN11830956,PASFUOG_RB_Nelson_Sed_0417,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115185,SAMN11830957,PASFUOG_RB_Nelson_Sed_0916,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115187,SAMN11830958,PASFUOG_RB_Nelson_Sed_0917,5.36,"low disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115186,SAMN11830959,PASFUOG_Ramsey_Sed_0416,82.14,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115189,SAMN11830960,PASFUOG_Ramsey_Sed_0417,82.14,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115188,SAMN11830961,PASFUOG_Ramsey_Sed_0916,82.14,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115191,SAMN11830962,PASFUOG_Ramsey_Sed_0917,82.14,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115190,SAMN11830963,PASFUOG_SB_Mill_Sed_0416,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115193,SAMN11830964,PASFUOG_SB_Mill_Sed_0417,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115192,SAMN11830965,PASFUOG_SB_Mill_Sed_0916,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115102,SAMN11830966,PASFUOG_SB_Mill_Sed_0917,0,"lowest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115179,SAMN11830992,PASFUOG_Wallis_Jacoby_Sed_0416,41.07,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115180,SAMN11830993,PASFUOG_Wallis_Jacoby_Sed_0417,41.07,"highest disturbance"
MMA+20,"Pennsylvania Streams 2017",SRR9115181,SAMN11830994,PASFUOG_Wallis_Jacoby_Sed_0916,41.07,"highest disturbance"
