protein,organism,ref,abbrv,chains,Ala,Cys,Asp,Glu,Phe,Gly,His,Ile,Lys,Leu,Met,Asn,Pro,Gln,Arg,Ser,Thr,Val,Trp,Tyr
sp|Q9V463,DROME,FKL+19,NU154,1,83,32,58,86,48,61,45,76,62,156,37,76,59,68,61,113,81,102,17,44
tr|Q9W0L7,DROME,FKL+19,Q9W0L7,1,140,6,45,57,24,97,60,38,54,97,33,82,172,202,40,138,83,85,12,52
tr|Q9VXI6,DROME,FKL+19,Q9VXI6,1,5,1,6,14,1,4,3,4,10,12,3,6,4,2,11,4,3,6,3,9
tr|A4V4A5,DROME,FKL+19,A4V4A5,1,14,4,15,14,11,15,5,11,19,16,5,10,10,10,11,4,11,20,4,7
tr|X2JFD6,DROME,FKL+19,X2JFD6,1,60,5,38,28,23,57,8,32,38,58,11,30,22,18,24,39,32,55,4,16
sp|Q08473,DROME,FKL+19,SQD,1,17,1,23,20,15,84,4,13,25,6,7,16,11,16,18,15,17,14,2,20
tr|Q9VMD7,DROME,FKL+19,Q9VMD7,1,59,6,35,43,27,52,15,38,37,71,12,35,26,35,43,38,44,42,12,33
sp|Q9I7K0,DROME,FKL+19,JUPIT,1,15,0,4,10,7,24,5,7,15,7,5,18,13,7,13,26,10,14,1,7
sp|P62152,DROME,FKL+19,CALM,1,10,0,17,21,9,11,1,8,8,9,10,6,2,5,6,5,13,7,0,1
tr|Q9VRD9,DROME,FKL+19,Q9VRD9,1,43,10,28,33,9,46,11,39,37,42,13,22,34,21,22,26,26,40,7,13
tr|Q9V3L7,DROME,FKL+19,Q9V3L7,1,14,1,11,8,8,5,0,6,6,14,1,7,8,6,10,11,14,11,4,5
tr|Q7KA66,DROME,FKL+19,Q7KA66,1,34,1,24,29,25,15,10,25,22,35,6,19,15,17,18,26,22,24,9,14
sp|Q9VVH3,DROME,FKL+19,MIC13,1,8,1,6,6,7,11,3,4,12,11,3,3,8,7,5,5,6,9,1,6
tr|Q7K2W6,DROME,FKL+19,Q7K2W6,1,44,7,49,41,42,36,17,36,29,54,12,49,37,23,53,38,43,47,6,27
tr|A1Z945,DROME,FKL+19,A1Z945,1,103,54,93,128,77,62,57,105,93,274,49,81,76,86,93,146,69,118,20,55
sp|P25439,DROME,FKL+19,BRM,1,104,14,100,120,32,107,52,75,117,145,61,61,142,129,101,83,76,67,13,39
tr|A4V391,DROME,FKL+19,A4V391,1,69,10,37,35,10,34,6,44,46,54,16,18,14,14,22,45,27,46,1,9
tr|Q8IN25,DROME,FKL+19,Q8IN25,1,77,6,44,54,47,41,15,46,41,78,20,66,25,45,35,73,92,61,17,57
tr|Q9VHI8,DROME,FKL+19,Q9VHI8,1,20,7,21,28,16,22,12,21,26,27,6,14,16,9,17,21,17,28,7,10
tr|Q9VIH9,DROME,FKL+19,Q9VIH9,1,11,11,8,4,6,9,0,10,8,16,4,7,7,5,4,12,12,10,0,3
tr|X2JEF0,DROME,FKL+19,X2JEF0,1,22,9,31,39,23,35,13,33,34,43,13,24,23,22,28,25,25,28,8,24
sp|P12080,DROME,FKL+19,ITA2,1,83,21,90,66,57,124,32,59,59,110,21,77,77,82,73,131,71,88,15,60
tr|Q9VSI1,DROME,FKL+19,Q9VSI1,1,51,12,34,41,16,30,14,31,26,51,8,12,23,32,28,31,21,37,3,12
tr|Q9VHC7,DROME,FKL+19,Q9VHC7,1,31,3,43,24,18,107,6,21,24,51,12,68,20,22,44,59,13,45,2,19
tr|A1ZBM2,DROME,FKL+19,A1ZBM2,1,14,5,17,19,13,23,3,8,18,17,6,15,9,9,10,15,15,19,0,9
tr|Q8SYJ2,DROME,FKL+19,Q8SYJ2,1,8,1,3,4,2,5,0,2,7,6,2,5,7,4,4,5,4,5,2,7
tr|Q9W1G5,DROME,FKL+19,Q9W1G5,1,77,20,53,55,48,79,18,91,60,103,36,51,40,29,44,66,70,69,15,35
tr|Q8IQW2,DROME,FKL+19,Q8IQW2,1,4,4,5,4,6,3,1,2,6,1,2,4,6,5,6,4,3,3,2,6
sp|P25867,DROME,FKL+19,UBCD1,1,9,4,11,5,6,7,3,11,8,14,3,6,16,5,8,9,8,5,3,6
tr|C6SUY3,DROME,FKL+19,C6SUY3,1,57,15,59,67,31,42,16,55,43,66,22,32,24,41,56,52,47,67,3,22
sp|P18432,DROME,FKL+19,MLR,1,33,0,21,21,12,18,0,10,23,11,9,8,5,6,7,16,13,8,0,1
sp|Q9V438,DROME,FKL+19,PDIA6,1,43,8,32,27,20,42,6,18,39,36,3,13,19,12,12,34,15,35,10,9
tr|Q9GNH8,DROME,FKL+19,Q9GNH8,1,31,14,26,32,22,37,13,25,23,50,13,26,11,16,22,15,26,34,3,9
tr|Q8IRQ5,DROME,FKL+19,Q8IRQ5,1,46,5,18,30,16,37,10,29,31,43,14,31,22,18,17,31,28,31,2,8
tr|Q7KN81,DROME,FKL+19,Q7KN81,1,41,3,9,11,17,41,1,12,18,31,3,9,7,8,12,31,8,17,3,4
sp|Q24498,DROME,FKL+19,RYR,1,333,87,296,427,236,331,143,264,286,522,159,222,205,211,268,326,273,310,61,167
sp|Q9W401,DROME,FKL+19,CISY,1,39,3,20,27,12,35,13,14,32,53,15,16,24,18,21,31,25,38,8,20
sp|A8DYP0,DROME,FKL+19,OBSCN,1,248,60,274,345,140,221,96,262,305,315,63,176,270,156,214,311,239,321,42,160
tr|C8VV67,DROME,FKL+19,C8VV67,1,10,0,26,11,16,84,8,12,21,8,7,53,12,20,19,10,7,17,8,11
tr|Q86BH6,DROME,FKL+19,Q86BH6,1,9,1,9,12,4,12,7,9,13,8,4,14,20,13,12,16,14,20,0,18
tr|A4UZZ4,DROME,FKL+19,A4UZZ4,1,61,7,53,59,32,49,19,59,59,76,25,59,37,33,43,35,34,48,14,42
tr|Q9VQL4,DROME,FKL+19,Q9VQL4,1,29,9,15,19,11,43,4,18,19,42,9,11,17,20,16,21,14,28,4,13
tr|Q7KSM5,DROME,FKL+19,Q7KSM5,1,25,4,23,28,14,20,4,18,23,37,3,12,12,9,20,19,21,33,3,9
tr|Q8SZM2,DROME,FKL+19,Q8SZM2,1,20,1,2,16,1,25,15,14,21,7,3,2,34,7,7,15,11,53,0,16
tr|Q7JVX3,DROME,FKL+19,Q7JVX3,1,41,6,27,32,21,26,14,32,24,34,8,15,19,21,28,36,25,28,8,22
tr|X2JCV2,DROME,FKL+19,X2JCV2,1,35,2,47,46,51,38,53,22,38,46,20,32,27,27,23,32,26,64,14,58
sp|P46415,DROME,FKL+19,ADHX,1,34,12,18,24,17,44,8,25,31,29,5,11,13,9,8,20,25,33,5,8
tr|M9MRD0,DROME,FKL+19,M9MRD0,1,20,3,13,27,11,9,11,10,17,20,3,8,11,6,10,9,16,16,3,4
tr|Q9VCC6,DROME,FKL+19,Q9VCC6,1,38,6,33,31,24,40,5,39,49,57,13,19,25,19,18,33,28,48,2,17
tr|X2J8C3,DROME,FKL+19,X2J8C3,1,56,8,46,51,34,25,14,28,44,57,13,24,23,26,25,35,29,34,14,29
tr|A1Z9J3,DROME,FKL+19,A1Z9J3,1,598,61,606,772,197,423,168,471,574,949,125,344,410,501,594,618,602,580,73,139
tr|Q9VHJ8,DROME,FKL+19,Q9VHJ8,1,53,7,36,36,17,42,3,32,60,47,14,19,17,16,20,16,21,36,1,9
tr|M9PG22,DROME,FKL+19,M9PG22,1,13,1,11,12,8,15,2,12,11,22,6,14,3,6,11,5,11,10,4,5
sp|Q24492,DROME,FKL+19,RFA1,1,40,10,34,38,21,43,11,39,47,44,16,45,21,22,21,54,28,45,7,17
tr|A1YK63,DROME,FKL+19,A1YK63,1,63,13,48,72,26,42,25,42,37,102,22,32,32,63,61,49,28,48,19,21
tr|A1ZBF1,DROME,FKL+19,A1ZBF1,1,17,4,17,23,11,8,6,14,21,28,11,24,9,10,11,8,6,13,2,5
tr|Q9VJI5,DROME,FKL+19,Q9VJI5,1,37,6,29,23,22,24,10,20,16,62,7,25,24,13,27,37,20,26,11,14
sp|P91927,DROME,FKL+19,LETM1,1,84,6,68,98,26,34,18,56,97,111,14,29,34,42,63,89,71,57,3,13
tr|A4V2B8,DROME,FKL+19,A4V2B8,1,16,3,27,20,13,13,15,18,23,36,10,18,14,12,22,11,13,24,5,23
sp|Q9GYU8,DROME,FKL+19,NUP88,1,51,8,31,60,18,30,18,43,36,91,7,39,32,38,38,50,36,55,6,15
tr|Q9V3W2,DROME,FKL+19,Q9V3W2,1,15,2,6,11,5,16,3,5,12,13,4,6,11,5,16,7,5,12,5,8
sp|Q9VAM6,DROME,FKL+19,CISD2,1,12,6,7,5,3,9,4,8,12,9,2,8,10,1,4,10,4,10,4,5
tr|O97102,DROME,FKL+19,O97102,1,4,1,6,8,3,8,2,4,7,6,4,5,4,7,4,3,6,6,0,2
sp|P08266,DROME,FKL+19,RPB2,1,74,22,66,84,45,75,30,87,65,104,44,53,51,51,79,65,58,68,9,46
tr|M9MS15,DROME,FKL+19,M9MS15,1,77,9,57,75,19,60,15,35,63,81,10,32,56,30,40,53,46,58,10,20
sp|Q94523,DROME,FKL+19,SDHA,1,69,10,42,34,21,63,23,34,33,51,18,26,26,28,39,33,37,45,6,23
sp|Q9VN13,DROME,FKL+19,SFXN1,1,28,6,10,14,15,18,4,21,19,30,13,19,18,12,17,20,19,25,4,9
tr|Q8SYS2,DROME,FKL+19,Q8SYS2,1,35,1,41,39,27,34,17,23,27,50,13,27,31,20,28,37,26,43,16,29
sp|Q9V4C8,DROME,FKL+19,HCF,1,111,17,58,70,37,113,32,84,80,108,30,94,87,68,49,179,133,107,18,25
tr|E1JH83,DROME,FKL+19,E1JH83,1,55,11,24,30,24,31,14,33,34,73,18,35,35,13,40,52,35,41,9,18
tr|Q7JZW0,DROME,FKL+19,Q7JZW0,1,10,1,14,15,5,11,2,10,11,6,3,8,4,4,9,11,1,9,0,10
tr|Q9W0H6,DROME,FKL+19,Q9W0H6,1,48,2,15,25,6,46,5,25,22,38,12,15,11,21,17,26,15,33,2,8
tr|Q9VTW1,DROME,FKL+19,Q9VTW1,1,17,7,24,35,22,21,6,25,30,44,8,13,13,14,13,15,21,22,2,14
sp|Q9VCC0,DROME,FKL+19,CHRD1,1,18,13,24,28,18,16,10,13,33,19,8,21,24,15,11,26,17,25,5,10
tr|X2JB48,DROME,FKL+19,X2JB48,1,30,4,14,6,24,33,2,20,22,19,6,9,9,13,16,14,18,23,4,13
sp|P27864,DROME,FKL+19,RRP1,1,87,8,33,77,14,39,6,18,92,34,11,25,57,18,34,24,40,43,6,13
tr|Q9VTR6,DROME,FKL+19,Q9VTR6,1,140,6,36,40,21,484,10,59,36,28,4,31,158,223,27,119,132,75,1,83
tr|Q9VDE4,DROME,FKL+19,Q9VDE4,1,23,3,9,30,15,11,5,15,30,25,5,9,8,12,12,17,22,18,3,14
tr|Q9VAD0,DROME,FKL+19,Q9VAD0,1,29,7,20,26,14,21,10,25,22,52,13,23,31,10,20,31,28,18,11,27
sp|Q9VCH5,DROME,FKL+19,NUP98,1,207,20,78,108,111,173,37,62,96,169,46,93,125,100,71,176,153,82,19,34
tr|M9NF33,DROME,FKL+19,M9NF33,1,38,1,35,39,13,76,18,12,14,22,19,16,80,39,69,52,18,25,4,15
sp|Q9W1H4,DROME,FKL+19,DNLI1,1,46,13,50,60,25,36,13,48,69,63,17,28,34,30,35,53,44,49,7,27
sp|O18413,DROME,FKL+19,PRS8,1,23,3,19,39,10,26,10,28,34,40,18,16,18,15,27,20,15,35,1,8
tr|Q9NAZ4,DROME,FKL+19,Q9NAZ4,1,24,4,14,9,10,14,4,10,10,19,2,12,12,8,5,14,15,24,3,11
tr|Q9VAY2,DROME,FKL+19,Q9VAY2,1,51,2,59,88,33,32,10,40,72,73,23,35,22,32,37,58,45,45,8,22
sp|Q9V9E3,DROME,FKL+19,PREP,1,40,16,59,61,56,48,31,64,69,101,27,77,39,44,41,84,59,55,10,53
tr|M9NEQ9,DROME,FKL+19,M9NEQ9,1,12,0,5,13,6,19,7,6,11,10,3,3,13,3,15,10,4,11,2,7
tr|Q95RF6,DROME,FKL+19,Q95RF6,1,16,3,8,14,6,16,2,14,11,14,4,8,5,10,11,10,5,10,0,4
tr|E1JIK0,DROME,FKL+19,E1JIK0,1,14,1,25,13,16,112,4,14,22,9,5,34,12,24,21,16,11,13,7,12
tr|Q9VCB6,DROME,FKL+19,Q9VCB6,1,28,12,29,34,26,27,15,31,32,71,19,37,31,19,24,36,25,22,8,19
tr|Q76NQ0,DROME,FKL+19,Q76NQ0,1,26,1,17,28,27,21,13,31,29,40,8,25,20,14,17,49,36,30,2,24
sp|P13395,DROME,FKL+19,SPTCA,1,240,17,191,257,74,82,67,114,181,261,41,113,28,188,142,133,96,102,39,49
tr|Q8MMD2,DROME,FKL+19,Q8MMD2,1,120,4,90,65,65,89,19,46,76,97,22,61,111,61,40,110,71,66,6,13
tr|Q9VEA1,DROME,FKL+19,Q9VEA1,1,5,2,15,16,7,13,1,10,15,9,3,9,3,5,11,5,5,9,1,4
sp|P06754,DROME,FKL+19,TPM1,1,37,2,21,65,4,7,1,9,39,39,8,13,1,19,27,10,15,18,0,4
tr|X2JFG0,DROME,FKL+19,X2JFG0,1,166,40,117,145,83,160,65,106,110,221,59,92,111,91,124,148,117,186,19,64
sp|Q8I8U7,DROME,FKL+19,TRA1,1,204,67,170,231,178,129,122,318,235,458,110,194,147,194,172,276,208,218,48,111
sp|Q6AWN0,DROME,FKL+19,MTND,1,8,3,17,17,9,7,7,11,11,14,3,11,7,6,13,5,12,10,3,12
tr|F6J1D0,DROME,FKL+19,F6J1D0,1,13,1,19,16,13,12,2,6,11,14,10,9,6,6,12,4,12,5,0,3
tr|Q9NHX7,DROME,FKL+19,Q9NHX7,1,27,5,14,18,7,29,8,15,17,24,12,15,8,9,12,19,10,13,4,16
sp|Q9VCI3,DROME,FKL+19,LSD1,1,41,1,21,30,13,16,15,28,27,38,8,22,17,19,31,31,25,30,3,15
tr|Q4AB54,DROME,FKL+19,Q4AB54,1,50,1,6,6,2,11,1,9,68,8,2,3,14,6,1,27,19,19,0,3
tr|Q8SZS4,DROME,FKL+19,Q8SZS4,1,55,2,3,6,6,62,7,15,9,11,3,6,46,8,2,37,1,36,0,20
tr|Q9VVU1,DROME,FKL+19,Q9VVU1,1,48,4,20,26,21,33,5,26,31,29,17,18,16,20,13,19,24,27,2,15
sp|A1Z877,DROME,FKL+19,NDG,1,82,79,93,108,46,109,26,61,37,104,8,68,69,72,59,97,72,88,14,58
tr|Q9VLT7,DROME,FKL+19,Q9VLT7,1,2,5,2,4,5,8,3,3,24,4,3,1,3,9,12,1,7,5,0,3
sp|Q9VQG4,DROME,FKL+19,COLT,1,30,6,9,12,18,36,2,16,20,29,10,10,17,12,15,16,19,17,1,11
tr|H5V888,DROME,FKL+19,H5V888,1,74,19,45,50,26,78,13,59,37,60,24,32,22,33,54,40,38,52,9,23
tr|Q9VKU1,DROME,FKL+19,Q9VKU1,1,58,5,31,32,27,44,14,39,40,56,8,34,26,23,32,27,40,49,8,33
tr|O77134,DROME,FKL+19,O77134,1,13,0,1,9,1,3,2,3,10,9,1,0,4,4,7,7,1,4,1,1
tr|Q9VLB7,DROME,FKL+19,Q9VLB7,1,19,6,31,34,20,40,7,29,35,40,9,11,20,15,21,27,23,31,3,22
tr|Q8SWX4,DROME,FKL+19,Q8SWX4,1,76,7,59,45,41,42,16,53,26,103,10,67,30,34,41,96,91,46,23,55
tr|Q9VSS1,DROME,FKL+19,Q9VSS1,1,30,16,32,45,28,35,14,44,49,62,16,27,31,24,34,34,29,43,1,17
tr|Q9VCK6,DROME,FKL+19,Q9VCK6,1,40,5,23,21,11,33,13,19,17,39,7,11,11,14,24,24,21,43,1,6
sp|Q9VFC8,DROME,FKL+19,GYS,1,43,11,43,52,41,42,26,42,32,58,19,38,28,21,52,42,39,43,9,28
tr|M9MSN9,DROME,FKL+19,M9MSN9,1,62,23,55,64,47,32,21,66,52,165,32,53,32,59,53,89,56,68,10,38
sp|P35381,DROME,FKL+19,ATPA,1,67,4,32,27,15,47,5,42,36,49,14,15,20,28,32,36,23,43,0,17
tr|Q9VMR6,DROME,FKL+19,Q9VMR6,1,50,11,27,40,23,47,18,39,41,52,13,24,27,21,27,36,31,46,3,17
tr|Q9VEQ2,DROME,FKL+19,Q9VEQ2,1,28,5,12,30,8,10,10,14,21,34,9,12,5,12,19,14,11,13,5,10
sp|Q7JWR9,DROME,FKL+19,ZC3HF,1,37,6,42,40,17,24,3,13,59,26,6,12,19,19,15,21,16,20,4,5
sp|Q9W445,DROME,FKL+19,MCTS1,1,13,3,10,9,8,13,7,12,19,21,6,4,9,7,6,11,8,10,2,4
tr|Q7K4T8,DROME,FKL+19,Q7K4T8,1,25,9,34,21,31,28,13,20,23,46,12,15,16,25,35,33,31,24,4,13
tr|Q8MT27,DROME,FKL+19,Q8MT27,1,52,8,60,43,14,45,19,38,76,97,21,38,33,41,52,72,40,59,12,15
sp|P16914,DROME,FKL+19,ELAV,1,75,2,14,14,16,37,1,24,18,31,12,29,26,60,15,27,32,39,1,10
tr|M9PFN1,DROME,FKL+19,M9PFN1,1,34,7,26,51,11,39,9,42,30,33,15,13,12,16,37,24,35,37,1,9
sp|P21914,DROME,FKL+19,SDHB,1,24,13,12,20,4,15,3,18,23,27,10,17,17,15,19,18,13,11,5,13
tr|M9NEL1,DROME,FKL+19,M9NEL1,1,55,14,29,37,27,40,12,26,29,50,14,33,29,30,27,51,33,25,4,19
tr|Q9V426,DROME,FKL+19,Q9V426,1,44,0,29,33,13,73,2,7,33,12,3,57,29,43,44,24,20,15,3,6
tr|Q9VRJ4,DROME,FKL+19,Q9VRJ4,1,36,4,11,18,9,25,4,15,25,34,5,17,8,9,14,37,12,27,1,6
tr|Q9VVC5,DROME,FKL+19,Q9VVC5,1,92,15,47,67,47,60,38,50,51,81,23,52,53,38,52,76,51,69,13,33
tr|Q9VHN7,DROME,FKL+19,Q9VHN7,1,60,12,40,31,28,50,18,40,38,52,7,30,29,19,30,38,32,54,3,15
sp|Q24439,DROME,FKL+19,ATPO,1,27,1,10,9,3,10,1,13,21,26,4,6,6,8,8,18,15,17,0,6
tr|O77430,DROME,FKL+19,O77430,1,8,4,17,19,5,5,2,14,17,13,4,7,7,5,4,8,12,6,3,2
tr|Q9VD66,DROME,FKL+19,Q9VD66,1,6,3,6,6,3,5,8,8,4,11,6,8,5,7,8,12,3,8,2,2
tr|Q7KN85,DROME,FKL+19,Q7KN85,1,96,18,62,60,42,99,25,80,72,92,27,44,54,29,48,74,61,79,11,39
tr|V9GZU6,DROME,FKL+19,V9GZU6,1,42,7,32,49,19,50,7,34,31,49,22,22,28,19,36,44,36,51,6,30
sp|P17336,DROME,FKL+19,CATA,1,34,9,37,19,33,34,16,23,34,30,10,27,33,23,26,29,30,34,5,20
sp|Q23972,DROME,FKL+19,SMG,1,59,16,43,40,27,64,25,42,48,103,28,82,65,72,34,120,61,41,8,21
tr|M9PFG7,DROME,FKL+19,M9PFG7,1,46,6,30,53,8,21,14,17,45,54,11,32,17,31,27,22,26,25,3,19
sp|Q9VA73,DROME,FKL+19,CMC,1,70,5,33,36,41,52,19,36,39,66,14,18,33,25,37,44,47,50,6,24
tr|Q9VEN3,DROME,FKL+19,Q9VEN3,1,51,4,30,41,19,45,20,35,42,52,14,38,30,32,27,79,30,36,6,11
tr|Q6NP72,DROME,FKL+19,Q6NP72,1,17,2,9,0,5,13,2,9,13,19,3,9,7,5,3,8,7,14,1,7
tr|Q9V9A9,DROME,FKL+19,Q9V9A9,1,95,26,187,201,77,71,32,138,117,167,33,68,60,56,48,50,69,123,17,68
tr|Q9VQ76,DROME,FKL+19,Q9VQ76,1,104,29,98,124,54,75,46,79,130,165,28,76,55,82,124,136,76,86,14,60
sp|Q9VJG0,DROME,FKL+19,XPP,1,35,7,39,38,25,45,14,41,39,57,10,22,26,31,25,47,38,45,12,17
sp|P14318,DROME,FKL+19,MP20,1,19,2,10,13,9,16,1,11,20,14,3,11,8,11,6,7,7,11,1,4
sp|P47948,DROME,FKL+19,TNNC2,1,7,1,20,23,9,8,1,12,8,15,8,3,4,10,5,6,7,6,0,2
sp|Q94516,DROME,FKL+19,AT5F1,1,31,3,6,25,7,14,4,14,18,24,6,6,8,9,17,13,10,15,5,8
tr|Q7PLB8,DROME,FKL+19,Q7PLB8,1,147,43,130,135,110,173,64,192,147,239,63,123,101,85,91,180,107,159,22,83
tr|Q95TK5,DROME,FKL+19,Q95TK5,1,28,6,16,26,19,22,11,21,25,40,19,20,30,20,27,30,32,31,7,18
tr|E1JJM9,DROME,FKL+19,E1JJM9,1,4,3,6,6,7,12,4,11,11,12,5,8,4,2,10,5,5,12,1,2
tr|H0RN81,DROME,FKL+19,H0RN81,1,4,1,8,4,4,14,2,5,8,6,1,3,8,4,5,7,8,11,1,4
tr|Q9VLN6,DROME,FKL+19,Q9VLN6,1,100,13,66,83,67,90,25,87,63,155,52,44,43,47,84,103,79,92,13,49
tr|Q9VTB4,DROME,FKL+19,Q9VTB4,1,16,1,4,8,0,6,3,7,13,12,4,2,7,9,4,6,6,9,4,3
sp|Q9VN25,DROME,FKL+19,EIF3A,1,101,11,73,140,29,47,17,52,88,102,18,40,38,65,145,57,35,42,13,27
tr|E2QC56,DROME,FKL+19,E2QC56,1,58,12,67,58,21,34,10,25,46,51,14,55,22,23,19,66,38,30,2,11
tr|Q9VZQ3,DROME,FKL+19,Q9VZQ3,1,344,24,272,415,115,161,115,176,322,464,60,176,95,324,288,273,132,210,54,77
sp|Q9Y105,DROME,FKL+19,SYQ,1,75,12,43,59,31,42,23,39,65,72,13,29,41,37,34,32,41,55,9,26
sp|C0HK94,DROME,FKL+19,Y5078,1,9,0,9,9,4,7,2,8,6,9,3,4,13,3,24,14,16,13,1,9
sp|C0HK92,DROME,FKL+19,Y5076,1,104,1,14,97,5,9,5,17,32,38,1,11,41,22,54,46,46,46,0,30
sp|C0HK95,DROME,FKL+19,FAU,1,3,1,4,5,2,12,4,0,4,3,1,3,8,0,12,29,20,6,0,14
sp|Q9V7N5,DROME,FKL+19,VATC,1,64,19,44,36,27,41,43,26,51,74,15,49,54,54,28,92,52,37,7,23
tr|Q8INH6,DROME,FKL+19,Q8INH6,1,93,5,45,73,37,36,18,49,48,102,15,56,40,49,47,76,80,80,23,53
sp|P53997,DROME,FKL+19,SET,1,17,3,26,46,11,11,4,12,24,21,1,22,14,5,6,15,8,10,5,8
tr|Q9V3W7,DROME,FKL+19,Q9V3W7,1,11,2,26,10,11,42,4,5,11,8,5,7,12,4,39,24,6,14,1,13
tr|Q7KSN8,DROME,FKL+19,Q7KSN8,1,91,19,76,144,64,66,39,72,87,163,38,64,79,72,101,78,64,93,19,57
tr|Q9VWV2,DROME,FKL+19,Q9VWV2,1,35,6,43,32,31,32,21,21,32,57,12,16,35,16,32,39,39,45,5,32
tr|E1JJF9,DROME,FKL+19,E1JJF9,1,93,16,71,88,47,90,23,74,65,60,22,80,74,51,61,86,84,80,26,48
tr|H8F4T6,DROME,FKL+19,H8F4T6,1,33,6,14,21,15,29,6,19,30,29,10,13,18,16,15,20,19,32,5,7
tr|Q59E09,DROME,FKL+19,Q59E09,1,44,14,40,49,30,52,16,36,41,49,19,24,44,15,30,35,37,44,17,34
sp|Q02645,DROME,FKL+19,HTS,1,94,16,58,91,29,67,37,61,61,95,22,42,70,61,66,101,68,78,7,32
sp|P09491,DROME,FKL+19,TPM2,1,25,3,22,51,5,3,1,7,35,28,8,13,0,19,17,14,14,17,0,2
tr|Q9VP57,DROME,FKL+19,Q9VP57,1,112,22,50,85,25,85,24,34,53,57,24,48,38,66,26,93,82,59,0,13
sp|P48592,DROME,FKL+19,RIR2,1,27,3,23,32,29,18,9,29,24,32,15,22,13,12,20,31,14,25,6,9
tr|A1Z992,DROME,FKL+19,A1Z992,1,42,5,47,44,33,55,34,33,26,56,15,37,30,21,42,46,22,38,20,39
tr|Q7K581,DROME,FKL+19,Q7K581,1,44,7,34,28,21,35,31,20,22,42,13,36,28,81,19,34,22,20,1,21
tr|Q9VAN7,DROME,FKL+19,Q9VAN7,1,24,1,10,24,8,20,7,15,22,20,6,11,16,11,10,10,11,15,5,9
tr|X2JE06,DROME,FKL+19,X2JE06,1,22,2,3,7,4,9,2,7,30,6,4,2,7,7,16,6,7,9,1,4
sp|O62619,DROME,FKL+19,KPYK,1,54,9,24,38,14,46,10,38,40,39,16,23,21,17,22,28,28,53,3,10
sp|P39205,DROME,FKL+19,CIN,1,37,15,34,33,28,40,8,39,34,66,9,25,36,23,27,51,36,47,3,10
tr|I0DHK3,DROME,FKL+19,I0DHK3,1,21,3,25,13,5,17,6,16,16,22,3,13,17,12,19,19,21,17,1,13
tr|Q9VHT2,DROME,FKL+19,Q9VHT2,1,22,8,23,20,14,17,11,21,16,22,6,17,8,7,21,26,25,19,8,9
tr|Q9I7M3,DROME,FKL+19,Q9I7M3,1,19,4,18,23,16,13,6,18,27,36,4,7,16,16,18,12,14,16,5,13
tr|Q7JVZ8,DROME,FKL+19,Q7JVZ8,1,23,5,17,13,6,13,5,12,13,29,2,5,15,9,12,11,5,16,1,13
tr|Q9I7J0,DROME,FKL+19,Q9I7J0,1,12,1,4,17,7,16,4,8,13,14,6,10,8,13,9,5,8,8,2,4
tr|Q8IQH0,DROME,FKL+19,Q8IQH0,1,50,37,83,68,66,106,33,72,56,111,26,78,53,47,78,91,71,88,14,56
sp|Q8T6B9,DROME,FKL+19,PUF68,1,84,4,29,39,19,47,8,31,34,57,22,20,38,46,26,43,34,45,1,10
tr|Q960M4,DROME,FKL+19,Q960M4,1,13,4,11,7,6,20,2,8,16,19,3,9,11,3,6,19,8,22,1,2
tr|E1JGP0,DROME,FKL+19,E1JGP0,1,26,6,19,27,12,27,9,30,19,26,15,8,19,11,18,25,23,20,4,16
tr|E1JIJ5,DROME,FKL+19,E1JIJ5,1,38,5,28,34,22,34,8,39,20,43,14,21,28,23,29,28,25,34,2,15
tr|Q9VIH1,DROME,FKL+19,Q9VIH1,1,24,3,13,17,9,21,6,17,13,16,7,11,7,10,6,25,14,18,1,8
sp|P54622,DROME,FKL+19,SSBP,1,11,0,8,5,4,10,4,5,8,11,3,9,6,9,11,4,19,13,2,4
sp|Q9VFL5,DROME,FKL+19,SYMM,1,51,7,33,32,17,27,24,23,27,60,8,19,29,31,40,52,33,33,11,25
tr|M9PEL1,DROME,FKL+19,M9PEL1,1,40,13,42,40,15,26,15,34,44,56,23,24,29,24,32,41,27,43,6,23
sp|Q23979,DROME,FKL+19,MY61F,1,69,13,56,74,51,61,28,72,84,108,14,55,29,49,69,49,48,60,9,37
tr|M9PIM0,DROME,FKL+19,M9PIM0,1,15,9,11,13,9,15,5,11,20,12,5,5,13,8,27,9,4,13,2,12
tr|M9PD75,DROME,FKL+19,M9PD75,1,21,0,19,11,14,31,4,7,25,30,1,19,4,16,4,22,22,18,4,10
tr|Q9W4I3,DROME,FKL+19,Q9W4I3,1,7,2,13,8,5,10,4,8,19,21,1,11,15,7,14,4,11,9,4,7
sp|O01666,DROME,FKL+19,ATPG,1,31,4,12,19,9,16,1,19,23,29,14,9,7,15,17,24,20,18,0,10
tr|Q9VT03,DROME,FKL+19,Q9VT03,1,32,13,9,21,31,36,5,38,21,53,16,16,22,11,12,24,33,39,9,17
sp|Q26454,DROME,FKL+19,MCM4,1,57,13,53,53,25,50,19,56,47,83,21,36,49,45,59,69,50,56,3,22
tr|Q7K4I5,DROME,FKL+19,Q7K4I5,1,52,6,37,45,18,24,9,15,23,49,7,20,23,23,34,41,31,25,5,9
tr|Q9VCE3,DROME,FKL+19,Q9VCE3,1,64,4,12,20,17,44,11,20,21,15,19,25,34,31,12,31,29,28,6,21
