Entry,Log2.ratio.Adult.Embryo,X.log10.BH.corrected.p.value.Adult.vs.Embryo,log10.mRNA.adult,log10.mRNA.embryo
P17917,-0.172,0.59,2.188,4.453
P25171,-1.066,6.478,2.788,4.025
M9PD08,-1.436,11.259,3.66,3.255
Q9VWB8,1.091,1.898,1.151,2.333
Q7K0D3,-0.244,0.117,1.87,2.994
A4V0N4,0.904,7.955,5.917,4.7
Q24169,1.404,1.099,0.146,1.89
Q02427,-0.591,2.172,1.773,3.558
Q9VWG1,1.602,8.972,5.248,4.389
Q9VN44,-1.449,9.876,3.501,3.463
Q9XYM0,-0.597,5.721,2.464,3.729
P91638,2.487,8.685,2.416,3.571
E1JGZ9,-1.592,5.875,3.643,4.579
M9PCQ1,2.264,9.273,5.88,3.619
Q9VCY3,-1.502,4.471,2.707,3.008
Q8SZ38,-1.171,1.777,-1.515,4.99
Q9VMZ5,-1.717,2.261,-1.732,4.726
A4V1N8,3.696,10.932,5.665,3.527
Q9VQM2,2.291,4.221,3.945,3.967
X2J5E8,-1.866,6.745,3.537,2.781
Q95SA6,-1.174,6.279,3.658,4.134
Q9W0M7,0.746,1.105,2.231,4.066
Q9VTW6,0.26,0.595,1.595,3.157
Q9VQ62,-1.187,5.865,2.877,3.341
Q9VUR3,-1.102,4.729,2.728,2.6
Q9V9W2,-1.104,6.707,6.545,6.63
M9PD27,-1.709,9.232,2.843,3.377
Q8IPG9,1.718,6.874,4.107,3.218
Q9VJ80,1.637,0.671,0.853,2.972
A8E6L6,-1.168,4.212,0.322,3.384
P22465,1.468,11.036,3.042,0.52
Q94901,-0.724,3.897,2.678,4.179
Q9VXQ0,-1.003,2.487,2.015,2.975
P84040,-0.404,0.556,4.755,6.366
P54353,-0.59,2.714,1.959,2.965
Q9W3G0,-1.408,8.116,1.82,2.479
Q9VP77,-1.195,3.371,3.414,3.341
P91938,-0.682,4.627,4.142,2.891
P91928,1.889,8.526,3.658,2.719
Q960Y8,-1.402,12.342,4.154,3.479
E2QD63,-1.717,6.077,3.187,2.782
Q9VD58,3.065,10.525,4.215,3.383
Q8MRX2,1.046,1.079,0.785,1.984
Q9VAA9,-0.179,0.378,1.519,3.015
Q9VGS2,-0.972,8.549,5.446,6.967
Q9VLJ9,-0.652,2.785,2.065,3.192
Q9VXM4,0.83,9.38,5.701,3.66
Q8SY58,0.703,4.02,1.584,0.017
Q9W3X7,1.913,9.057,3.607,3.557
Q7KMP8,-1.465,10.861,3.282,3.349
Q9W229,-1.471,7.945,6.178,6.861
A4V2J1,2.633,15.09,4.738,3.265
Q7JZZ3,0.731,2.441,5.346,3.615
Q0E8X7,2.256,5.017,5.351,4.248
Q9VNH5,-1.425,4.052,0.983,3.306
Q9W141,2.417,4.394,4.68,5.262
Q9VAX8,-0.7,2.164,1.196,2.277
M9PGW0,1.26,3.689,3.52,4.329
M9PDN9,-1.034,3.029,0.971,1.769
Q8SX57,-1.444,6.779,2.213,3.334
Q9VB64,0.229,2.055,3.637,2.071
Q9VBP9,-0.692,5.085,4.56,2.192
Q95RN0,-0.857,4.293,0.796,2.655
A4V2S3,3.66,8.198,3.313,3.76
T2GGB6,-1.411,3.135,0.416,1.495
Q9VF53,1.877,11.185,4.277,2.004
Q7KT11,1.656,9.757,4.241,4.085
Q9XZU1,-2.818,7.72,1.343,2.794
P81900,1.011,9.065,3.034,1.172
Q9V3I1,-2.164,7.719,1.985,5.046
Q9VMQ9,-1.019,6.468,4.364,4.047
Q9VTU2,2.707,6.731,5.126,4.601
Q9VC94,2.009,1.235,1.439,2.61
Q9VXY7,-1.629,7.076,4.878,3.981
P26686,-1.215,6.385,3.745,4.114
L0CRT0,-1.235,9.702,1.373,2.258
Q9Y119,5.573,12.181,5.698,2.647
Q7PLI7,-0.034,0.021,1.565,3.316
Q59E23,1.781,6.94,2.961,1.873
Q5BIJ9,2.394,11.248,8.348,1.045
O76268,1.563,9.985,3.596,3.194
