Name,Run,BioSample,SampleName,Disease
IBD,SRR6505571,SAMN08388951,C250F_16S,CD
IBD,SRR6505566,SAMN08388952,C250IP_16S,CD
IBD,SRR6505567,SAMN08388953,C250RN_16S,CD
IBD,SRR6505553,SAMN08389044,U108RP_16S,UC
IBD,SRR6505552,SAMN08389045,U109F_16S,UC
IBD,SRR6505551,SAMN08389046,U109IN_16S,UC
IBD,SRR6505550,SAMN08389047,U109RP_16S,UC
IBD,SRR6505549,SAMN08389048,U110CP_16S,UC
IBD,SRR6505548,SAMN08389049,U110F_16S,UC
IBD,SRR6505547,SAMN08389050,U110IN_16S,UC
IBD,SRR6505546,SAMN08389051,U110RN_16S,UC
IBD,SRR6505561,SAMN08389052,U111F_16S,UC
IBD,SRR6505560,SAMN08389053,U111IN_16S,UC
IBD,SRR6505591,SAMN08389054,U112DP_16S,UC
IBD,SRR6505592,SAMN08389055,U112F_16S,UC
IBD,SRR6505589,SAMN08389056,U112IN_16S,UC
IBD,SRR6505590,SAMN08389057,U112RP_16S,UC
IBD,SRR6505595,SAMN08389058,U113F_16S,UC
IBD,SRR6505593,SAMN08389060,U113RP_16S,UC
IBD,SRR6505594,SAMN08389061,U114F_16S,UC
IBD,SRR6505564,SAMN08389104,U227RP_16S,UC
IBD,SRR6505565,SAMN08389105,U228CP_16S,UC
IBD,SRR6505558,SAMN08389106,U228F_16S,UC
IBD,SRR6505559,SAMN08389107,U228IN_16S,UC
IBD,SRR6505556,SAMN08389108,U228RP_16S,UC
IBD,SRR6505557,SAMN08389109,U229F_16S,UC
IBD,SRR6505554,SAMN08389110,U229RP_16S,UC
IBD,SRR6505555,SAMN08389111,U229SN_16S,UC
IBD,SRR6505647,SAMN08388797,C101RN_16S,CD
IBD,SRR6505624,SAMN08388798,C102CP_16S,CD
IBD,SRR6505626,SAMN08388799,C102F_16S,CD
IBD,SRR6505625,SAMN08388801,C102RN_16S,CD
IBD,SRR6505606,SAMN08388845,C116RN_16S,CD
IBD,SRR6505609,SAMN08388847,C117F_16S,CD
IBD,SRR6505623,SAMN08388850,C117RN_16S,CD
IBD,SRR6505613,SAMN08388852,C118F_16S,CD
IBD,SRR6505614,SAMN08388853,C118IP_16S,CD
IBD,SRR6505607,SAMN08388860,C120RN_16S,CD
IBD,SRR6505643,SAMN08388863,C121IP_16S,CD
IBD,SRR6505610,SAMN08388872,C124RN_16S,CD
IBD,SRR6505627,SAMN08388873,C125F_16S,CD
IBD,SRR6505605,SAMN08388876,C126CP_16S,CD
IBD,SRR6505638,SAMN08388880,C127F_16S,CD
IBD,SRR6505618,SAMN08388934,C243RN_16S,CD
IBD,SRR6505617,SAMN08388935,C244CP_16S,CD
IBD,SRR6505616,SAMN08388936,C244F_16S,CD
IBD,SRR6505615,SAMN08388937,C244RN_16S,CD
IBD,SRR6505622,SAMN08388938,C245F_16S,CD
IBD,SRR6505621,SAMN08388939,C245IP_16S,CD
IBD,SRR6505620,SAMN08388940,C246F_16S,CD
