Protein_ID,"Phylostratum (ps)",Tax_ID,"Phylostratum name"
AQZ89323.1,2,2,"Cellular_organisms : Bacteria"
AQZ89324.1,1,131567,"root : Cellular_organisms"
AQZ89325.1,1,131567,"root : Cellular_organisms"
AQZ89326.1,2,2,"Cellular_organisms : Bacteria"
AQZ89327.1,1,131567,"root : Cellular_organisms"
AQZ89328.1,1,131567,"root : Cellular_organisms"
AQZ89329.1,2,2,"Cellular_organisms : Bacteria"
AQZ89330.1,2,2,"Cellular_organisms : Bacteria"
AQZ89331.1,1,131567,"root : Cellular_organisms"
AQZ89332.1,1,131567,"root : Cellular_organisms"
AQZ89333.1,4,1239,"Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter : Firmicutes"
AQZ89334.1,1,131567,"root : Cellular_organisms"
AQZ89335.1,1,131567,"root : Cellular_organisms"
AQZ89336.1,3,4000010,"Bacteria : Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter"
AQZ89337.1,1,131567,"root : Cellular_organisms"
AQZ89338.1,1,131567,"root : Cellular_organisms"
AQZ89339.1,1,131567,"root : Cellular_organisms"
AQZ89340.1,8,55087,"Anoxybacillus/Parageobacillus/Geobacillus : Bacillus"
AQZ89341.1,1,131567,"root : Cellular_organisms"
AQZ89342.1,2,2,"Cellular_organisms : Bacteria"
AQZ89343.1,2,2,"Cellular_organisms : Bacteria"
AQZ89344.1,1,131567,"root : Cellular_organisms"
AQZ89345.1,1,131567,"root : Cellular_organisms"
AQZ89346.1,3,4000010,"Bacteria : Firmicute/Actinobacteri/Chloroflex/Cyanobacteri/Armatimonadete/Melainabacter"
AQZ89347.1,1,131567,"root : Cellular_organisms"
AQZ89348.1,1,131567,"root : Cellular_organisms"
AQZ89349.1,1,131567,"root : Cellular_organisms"
