taxid	lineage	name	rank	SRR040582	SRR040605	SRR040656	SRR040697	SRR040735	SRR040741	SRR040791	SRR040949	SRR041343	SRR041398	SRR041527	SRR041536	SRR041621	SRR041712	SRR041789	SRR043639	SRR043760	SRR044021	SRR044054	SRR044085	SRR044087	SRR044216	SRR044251	SRR044252	SRR044257	SRR044274	SRR044381	SRR044384	SRR044395	SRR044399	SRR044423	SRR044424	SRR044732	SRR045294	SRR045327	SRR045344	SRR045687	SRR045699	SRR045709	SRR045715	SRR045722	SRR047400	SRR047457	SRR047559	SRR049312	SRR049315	SRR049646	SRR049863	SRR050386
2397	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Eubacteriaceae;family;Eubacterium;genus;	Eubacterium	genus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
2484	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;	Ruminococcaceae	family	0	0	0	0	0	0	0	0	10	1	406	0	1	0	0	2579	1124	821	59	0	784	1903	682	156	2287	0	0	0	310	0	921	881	0	350	229	899	0	0	2714	691	2113	559	0	0	0	194	287	0	1016
2639	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Oscillibacter;genus;	Oscillibacter	genus	0	0	0	0	0	0	0	0	3	0	76	0	1	0	0	12	30	6	0	0	45	40	23	10	63	0	0	0	3	0	24	29	0	16	2	23	0	0	118	22	89	2	0	0	0	0	5	0	34
917	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Gemmiger;genus;	Gemmiger	genus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	200	9	0	0	0	0	93	14	14	23	0	0	0	3	0	3	2	0	3	0	18	0	0	16	0	107	8	0	0	0	1	2	0	2
2492	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Ruminococcus;genus;	Ruminococcus	genus	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	48	23	13	0	0	133	32	19	2	23	0	0	0	28	0	9	171	0	99	8	9	0	0	289	25	238	12	0	0	0	63	10	0	54
2485	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Faecalibacterium;genus;	Faecalibacterium	genus	0	0	0	0	0	0	0	0	2	0	169	0	0	0	0	1700	568	507	38	0	243	181	63	37	1116	0	0	0	60	0	559	313	0	44	9	234	0	0	71	317	700	18	0	0	0	24	156	0	309
-2485	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;unclassified_Ruminococcaceae;;	unclassified_Ruminococcaceae		0	0	0	0	0	0	0	0	3	1	135	0	0	0	0	413	469	263	8	0	325	1520	537	80	980	0	0	0	210	0	307	356	0	169	55	569	0	0	1965	264	941	403	0	0	0	79	107	0	605
4517	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Lawsonibacter;genus;	Lawsonibacter	genus	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	15	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	6	0	0	0	1	0	0	5	0	0	0	0	0	0	0
4516	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Dysosmobacter;genus;	Dysosmobacter	genus	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	28	11	2	2	0	13	12	8	10	1	0	0	0	3	0	9	3	0	1	118	5	0	0	0	4	2	59	0	0	0	7	2	0	3
3985	Root;rootrank;Bacteria;domain;Firmicutes;phylum;Clostridia;class;Clostridiales;order;Ruminococcaceae;family;Ruthenibacterium;genus;	Ruthenibacterium	genus	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	19	1	0	0	0	0	0	0	2	3	0	0	0	0	0	1	0	0	1	2	5	0	0	18	0	3	2	0	0	0	1	0	0	2
